ID,Form_ID,Cognateset_ID,Morph_Index
242,2-b174e4cd6c60c48b29ef4cf6c47da261-11694,55805,1
243,3-62a2b695345976567b7572035c6afd41-13264,55805,1
244,4-b174e4cd6c60c48b29ef4cf6c47da261-16220,55805,1
245,79-b174e4cd6c60c48b29ef4cf6c47da261-69366,55805,1
246,80-b174e4cd6c60c48b29ef4cf6c47da261-71640,55805,1
247,1-2ca578aa88ec758e564db6fea28039f2-10683,55806,1
248,4-2ca578aa88ec758e564db6fea28039f2-15943,55806,1
249,79-72cb4f0ced583f1cb7dea2719cd8e80a-70304,55806,1
250,80-72cb4f0ced583f1cb7dea2719cd8e80a-71363,55806,1
251,1-b8a9f715dbb64fd5c56e7783c6820a61-10119,55807,1
252,2-b8a9f715dbb64fd5c56e7783c6820a61-11643,55807,1
253,4-b8a9f715dbb64fd5c56e7783c6820a61-16122,55807,1
254,72-b8a9f715dbb64fd5c56e7783c6820a61-59442,55807,1
255,73-b8a9f715dbb64fd5c56e7783c6820a61-59828,55807,1
256,74-b8a9f715dbb64fd5c56e7783c6820a61-60046,55807,1
257,75-b8a9f715dbb64fd5c56e7783c6820a61-60374,55807,1
258,79-fb152ffcdaf7470dbe1817c84dfffd77-70673,55807,1
259,80-fb152ffcdaf7470dbe1817c84dfffd77-71542,55807,1
260,1-0461ebd2b773878eac9f78a891912d65-10743,55808,1
261,2-0461ebd2b773878eac9f78a891912d65-12271,55808,1
262,3-0461ebd2b773878eac9f78a891912d65-13869,55808,1
263,4-0461ebd2b773878eac9f78a891912d65-16099,55808,1
264,79-53dcfe2b29b1b0a3b741c2617ad1f429-70307,55808,1
265,80-53dcfe2b29b1b0a3b741c2617ad1f429-71519,55808,1
266,74-53b9e9679a8ea25880376080b76f98ad-60220,55809,0
267,1-53b9e9679a8ea25880376080b76f98ad-10722,55809,1
268,3-53b9e9679a8ea25880376080b76f98ad-13837,55809,1
269,4-53b9e9679a8ea25880376080b76f98ad-16300,55809,1
270,79-53b9e9679a8ea25880376080b76f98ad-69580,55809,1
271,80-53b9e9679a8ea25880376080b76f98ad-71720,55809,1
272,1-c785e1ed2950e3e36b1e2ca01f299a54-10126,55810,1
273,2-c785e1ed2950e3e36b1e2ca01f299a54-11650,55810,1
274,3-c785e1ed2950e3e36b1e2ca01f299a54-13216,55810,1
275,4-c785e1ed2950e3e36b1e2ca01f299a54-16043,55810,1
276,72-c785e1ed2950e3e36b1e2ca01f299a54-59449,55810,1
277,74-c785e1ed2950e3e36b1e2ca01f299a54-60060,55810,1
278,74-c785e1ed2950e3e36b1e2ca01f299a54-60061,55810,1
279,79-c785e1ed2950e3e36b1e2ca01f299a54-68783,55810,1
