ID,Name,Initial,Description
56111,pʰuŋ,p,carry (on shoulders)
56112,raː,r,arrive
56113,su,s,wash
56114,cʰiːk,c,wash (hands)
56115,saː,s,lend
56116,loj,l,roll (in a roll)
56118,sɐk,s,difficult/hard
56119,w̥e,w,late
56120,kʰaːw,k,dirty
56121,paj,p,shallow
56123,maŋ,m,lost
56124,haw,h,rough
56126,jɐːŋ,j,look
56127,tʰo,t,full/satiated
56130,tʰi,t,numb/paralyzed
56132,ta,t,bird
56133,kʰu,k,tiger
56134,ʃuŋ,ʃ,arrive
56135,cʰaŋ,c,wing
56136,pwaːk,p,side
56143,saː,s,hot/spicy/pungent
56144,sik,s,pinch
56145,sʰik,s,cold
56146,l̥a,l,shadow/spirit/soul
56147,t͡su,t,touch
56149,waw,w,shout
56151,kow,k,cold
56152,hoːl,h,ginger
56153,kʰok,k,peel (v.)/strip (v.)
56154,ʃaː,ʃ,thick
56155,kʰaj,k,scoop out
56157,pʰen,p,belly
56158,w̥or,w,light/shine
56159,maː,m,scar/wound
56160,sʰɐːŋ,s,swallow
56161,maː,m,rice (in field)
56162,d͡zaː,d,child/diminutive
56163,ʃiːm,ʃ,mortar
56166,ʃaː,ʃ,hear
56168,t͡si,t,parrot
56169,jaː,j,right side
56170,l̥aː,l,song
56172,ʃun,ʃ,day
56173,ru,r,chop
56174,muk,m,cattle
56178,cuŋ,c,many
56180,cɐːŋ,c,thirst
56182,niŋ,n,mind/think
56183,pew,p,blind
56184,kʰoːk,k,deaf
56185,lam,l,placenta
56186,maːn,m,price
56187,jaː,j,respect
56192,lo,l,vomit
58161,se,s,cattle/buffalo
58162,kʰo,k,foot
58163,kʰuːt,k,hand/arm
58164,mit,m,eye/sun
58165,pi,p,sleep
58341,dluŋ,d,descend
58370,baj,b,defecate
58390,caw,c,deer
59651,mew,m,dark
59654,tɐn,t,put/place
59835,laː,l,moon
60267,haŋ,h,ask
60268,luk,l,basket
60269,kʰaː,k,crow (n.)
60276,taj,t,elephant
60279,mot,m,plantain
60288,ða,ð,young (animal)
60381,huŋ,h,red
70741,kʰroːn,k,voice
70742,cir,c,urine
70744,ceŋ,c,fly
70745,kʰaːm,k,stop / shut
70746,zaw,z,bracelet
70747,len,l,snare / trap
70749,ʃaːŋ,ʃ,thigh
70751,kʰoŋ,k,bark
70752,tʰi,t,sneeze
70753,riːn,r,tickle
73760,kwaːj,k,hair (body)
